"","product","client","status","amount","num_users"
"1","Product F","Current","Won",7389.52,20
"2","Product C","New","Won",4493.01,44
"3","Product B","New","Won",5738.09,88
"4","Product I","Current","Won",2591.24,84
"5","Product E","Current","Won",6622.97,18
"6","Product B","New","Won",5496.27,3
"7","Product C","Current","Won",3043.13,30
"8","Product N","Current","Won",7340.64,14
"9","Product F","Current","Won",6780.85,81
"10","Product B","Current","Won",5237.24,24
"11","Product B","Current","Won",2273.55,27
"12","Product C","New","Lost",2480.33,7
"13","Product D","New","Lost",4179.72,16
"14","Product F","New","Won",4918.79,44
"15","Product B","Current","Lost",7030.54,42
"16","Product B","Current","Won",4599.65,13
"17","Product D","Current","Won",5282.57,59
"18","Product N","Current","Won",8627.2,8
"19","Product A","Current","Won",9913.27,35
"20","Product I","Current","Won",3220.45,46
"21","Product F","Current","Lost",6849.12,20
"22","Product B","Current","Won",6236.52,3
"23","Product F","Current","Won",5226.04,83
"24","Product A","Current","Won",1625.19,24
"25","Product B","New","Lost",3124.62,32
"26","Product C","New","Won",3342.35,17
"27","Product B","Current","Lost",5701.7,54
"28","Product B","Current","Won",4656.29,27
"29","Product B","Current","Won",4563.53,74
"30","Product B","Current","Lost",5867.54,2
"31","Product C","New","Won",6151.14,67
"32","Product B","Current","Lost",7404.46,14
"33","Product I","Current","Won",3711.23,15
"34","Product E","New","Lost",3706.78,4
"35","Product A","New","Lost",5656.77,34
"36","Product B","Current","Won",8588.35,53
"37","Product N","Current","Won",2738.93,33
"38","Product F","Current","Won",3357.24,54
"39","Product B","Current","Won",2812.45,38
"40","Product I","Current","Won",6533.16,48
"41","Product B","Current","Won",7229.87,100
"42","Product A","Current","Lost",5597.34,90
"43","Product A","Current","Won",5827.35,51
"44","Product D","Current","Won",3328.79,41
"45","Product B","Current","Won",7085.83,18
"46","Product B","Current","Won",8614.12,18
"47","Product B","Current","Won",8222.62,3
"48","Product C","Current","Lost",1548.61,66
"49","Product C","Current","Lost",3727.66,20
"50","Product B","Current","Won",3488.36,80
